state_fips_code,year,state_yield,Log_yield,lowess_log_yield
01,1950,24.381012321727546,3.193804645821419,3.06811194851509
01,1951,21.730126865687343,3.0786996325249882,3.101849762615225
01,1952,12.469825748842588,2.5233117859650096,3.135566009996795
01,1953,23.371897841195526,3.1515343536915172,3.169252816466555
01,1954,14.037016829374437,2.6416978994810445,3.2029050735628566
01,1955,29.922141243399203,3.3985987161672107,3.236519800059118
01,1956,24.598159528457636,3.2026716242231106,3.270096934245469
01,1957,25.568904008171128,3.2413769259742735,3.303633300387885
01,1958,31.304604867721064,3.4437652070994416,3.3371272003716412
01,1959,26.895475858896884,3.291958088779201,3.3705789819439604
01,1960,26.82036886003054,3.289161630929374,3.4039874266101813
01,1961,33.52290522437891,3.5122289432298217,3.437354172056585
01,1962,28.213686820070894,3.3398072084301766,3.470685418944356
01,1963,36.65038529140145,3.601423941003226,3.503988837006084
01,1964,36.97204243090434,3.6101620170515627,3.5372773032500984
01,1965,43.360298497176984,3.7695442412676807,3.5705649353075124
01,1966,34.84900280094277,3.5510245227639374,3.603865213522392
01,1967,47.47264658895923,3.8601536838837345,3.637188642408739
01,1968,36.98252633553186,3.6104455398919395,3.6705467059054957
01,1969,34.823478708170555,3.550291834811357,3.70394451990676
01,1970,27.066489207997204,3.2982964021232464,3.7373832246672585
01,1971,45.825736085124205,3.8248458565563723,3.770853043341771
01,1972,49.31790400908884,3.898287179604945,3.8042874715467203
01,1973,48.00819853758738,3.871371799189146,3.835859648700379
01,1974,45.91272794389074,3.826742375879244,3.8669623886417903
01,1975,52.347048484848486,3.9578955553039674,3.8976026884633974
01,1976,64.18139583333333,4.161713384172748,3.927787405344476
01,1977,32.04741678642601,3.467216580630878,3.9574740206165453
01,1978,55.57778289648082,4.01778353320711,3.986633902094192
01,1979,64.86137225368833,4.172252257819845,4.015212958554916
01,1980,43.987565436413846,3.7839069902604385,4.043259091172394
01,1981,62.7561463678609,4.13925652330053,4.070826331850456
01,1982,69.22350694283382,4.237340500645791,4.098041548264039
01,1983,63.4720910924697,4.150600298930852,4.125112793035141
01,1984,68.79281219247113,4.2310992655348745,4.152201191015432
